Unnamed: 0,MaterialType,CultivationName,SupplierCatalogueNumber,ERPnumber,ERPInventoryControl,LIMSSpec,BOM,Assay
2,Detector Cells,Vero C1008 Cells,CRL 1586,100000253.WCB,Y,Y,Y(KPBT6433),0033970GMP.BUK
3,Positive Control,PI3 ,VR-281,"100000956.PVB, 100000294.MVB,_100000276.WVB",Y,Y,Y(KPBT6433),0033970GMP.BUK
4,Positive Control,PPV,VR-742,"100000959.PVB, 100000289.MVB, 100000284.WVB",Y,Y,Y(KPBT6433),0033970GMP.BUK
5,Positive Control,PAV,,100007727.WVB/PVB,Y,Y,Y(KPBT6433),0033970GMP.BUK
6,Positive Control,PHEV,,"100007056.MVB, WVB, PVB",Y,Y,Y(KPBT6433),0033970GMP.BUK
7,Positive Control,TGEV,VR-763,"100003672.MVB, WVB, PVB",Y,Y,Y(KPBT6433),0033970GMP.BUK
8,Supplemented Media,10% HG DMEM,041-95943M,100000381.500ml,Y,Y,Y(BPBT0609),0033970GMP.BUK
9,Raw Material,Foetal bovine serum,10091-155,100000271.UK,Y,Y,Y(BPBT0609),0033970GMP.BUK
10,Raw Material,Pen Strep,15140-122,100000777.100ML,Y,Y,Y(BPBT0609),0033970GMP.BUK
11,Raw Material,Gentamycin,15710-049,100001267.500ML,Y,Y,Y(BPBT0609),0033970GMP.BUK
12,Raw Material,Fungizone,15290-026,100000670.50ml,Y,Y,Y(BPBT0609),0033970GMP.BUK
13,Raw Material,HBSS,14170-088,100000794.500ML,Y,Y,,0033970GMP.BUK
14,Raw Material,Trypsin,25300-062,A25300062.500ML,Y,Y,,0033970GMP.BUK
15,Raw Material,Acetone,CHE1040,A0000140.2’5L,Y,N,,0033970GMP.BUK
16,Raw Material,PBS,14040-083,100000856.100ML,Y,Y,,0033970GMP.BUK
17,Raw Material,Trypan blue,T8154-1 100ML,A0000964.100ML,Y,Y,Y (BPBTD0011),0033970GMP.BUK
18,Raw Material,Methanol,M/4000/17,A0000095.2’5L,Y,Y,,0033970GMP.BUK
19,Raw Material,Giemsa,G5637-25G,A0000894,Y,N,,0033970GMP.BUK
20,Blood,Guinea Pig Blood,PB030,A0000991.UK,Y,Y,Y(KPBT4629),0033970GMP.BUK
21,Blood,Chick Blood ,S.B-B0008H-U,100002723.,Y,Y,Y(KPBT4629),0033970GMP.BUK
22,Raw Material,PBS (sachets),P3813-10PAK,A0000935.10PK,Y,Y,Y(KPBT4628),0033970GMP.BUK
23,Raw Material,Tween 20,P1379-100ml,A0000932.100ML,Y,Y,Y(KPBT4628),0033970GMP.BUK
24,Raw Material,PAV antiserum,CJ-F-PAV-10ML,100007504,N,N,Y(KPBT6502),0033970GMP.BUK
25,Raw Material,PHEV antiserum,CJ-F-PHEV-10ML,100007036,Y,N,Y(KPBT6502),0033970GMP.BUK
26,Raw Material,PPV antiserum,210-59-PPV,A0001032.UK,Y,N,Y(KPBT6502),0033970GMP.BUK
27,Raw Material,TGEV antiserum,CJ-F-TGE-10ML,100007505.UK,Y,N,Y(KPBT6502),0033970GMP.BUK
28,Raw Material,Vectashield,H-1000,A0001014.UK,Y,Y,Y(KPBT4628),0033970GMP.BUK
29,Media,1 % HG DMEM,04196672M,100008427.500ML,Y,Y,Y(BPBT0609),0033970GMP.BUK
30,Media,10% HG DMEM,04196655M,100008331.500ML,Y,Y,Y(BPBT0609),0033970GMP.BUK
31,Raw Material,L-Glutamine,25030-024,A25030024.100ML,Y,Y,Y(BPBT0609),0033970GMP.BUK
32,Raw Material,Serum (Australian),12003C,100008403.500ml,Y,Y,Y(BPBT0609),0033970GMP.BUK
33,Raw Material,Serum (US),26140,100008353.500ML,Y,Y,Y(BPBT0609),0033970GMP.BUK
34,Raw Material,Fungizone,15290-026,100000670.50ML,Y,Y,Y(BPBT0609),0033970GMP.BUK
2,Cell Line,Continuous Chicken embryo fibroblasts (DF-1),CRL-12203,100007071,Y,Y,,003939GMP.BUK
3,Virus,Avian Leukosis Virus Type A,VR-355,100000966,Y,Y,,003939GMP.BUK
4,Virus,Avian Leukosis Virus Type B,VR-658,100000965,Y,Y,,003939GMP.BUK
5,Virus,Avian Leukosis Virus Type J,HPRS-103,100004791,Y,Y,,003939GMP.BUK
6,Reagent,Phosphate buffered saline (PBS) 1 x,14190,100004079,Y,Y,,003939GMP.BUK
7,Reagent,Trypsin-EDTA,25300-062,A25300062,Y,Y,,003939GMP.BUK
8,Reagent,Penicillin and Streptomycin mixture,15140,100000777,Y,Y,,003939GMP.BUK
9,Reagent,Polybrene (Hexadimethrine Bromide),107689,100004500,Y,Y,,003939GMP.BUK
10,Reagent,HG DMEM,41966,100001324,Y,Y,,003939GMP.BUK
11,Reagent,Foetal Bovine Serum ,10091,100000271,Y,Y,,003939GMP.BUK
12,Reagent,Foetal Bovine Serum (FBS),10086148,100008353,Y,Y,,003939GMP.BUK
13,Reagent,Foetal Bovine Serum (FBS),12003C,100008403,Y,Y,,003939GMP.BUK
14,Reagent,ELISA kit for detection of Avian Leukosis Virus Antigen,99-09254,100004205,Y,Y,,003939GMP.BUK
15,Reagent,De-ionised water,,,Y,N,,003939GMP.BUK
16,Component,T150 Flasks,BRS061,A0001077,Y,N,,003939GMP.BUK
